# 泰深输入法专业词库 — modern
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：AI 生成现代高频词表（平台/科技/网络用语/新消费），pypinyin 注音
# 生成: 2026-08-09

API调用	apidiaoyong
钠离子电池	nalizidianchi
锂矿	likuang
长文本	zhangwenben
闭源模型	biyuanmoxing
闲鱼	xianyu
限时抢购	xianshiqianggou
限量款	xianliangkuan
隐私计算	yinsijisuan
零卡	lingka
零糖	lingtang
露营经济	luyingjingji
预制菜	yuzhicai
预训练	yuxunlian
飞猪旅行	feizhulvxing
飞行汽车	feixingqiche
饭搭子	fandazi
饿了么	eleme
首店	shoudian
马面裙	mamianqun
高级感	gaojigan
魔性	moxing
麒麟电池	qilindianchi

# 知名品牌补充（system 已有但词频低，简拼被顶——2026-08-09 追加）
一号店	yihaodian
京东	jingdong
优酷	youku
去哪儿	qunaer
哔哩哔哩	bilibili
唯品会	weipinhui
国美	guomei
天猫	tianmao
当当	dangdang
拼多多	pinduoduo
携程	xiecheng
支付宝	zhifubao
楚楚街	chuchujie
淘宝	taobao
腾讯视频	tengxunshipin
苏宁	suning
蘑菇街	mogujie
